"variable","value","deconvolution_method"
"clean_bootstrap",0.216,"clean_bootstrap"
"clean_bootstrap",0.216,"clean_bootstrap"
"clean_bootstrap",0.218,"clean_bootstrap"
"clean_bootstrap",0.218,"clean_bootstrap"
"clean_bootstrap",0.218,"clean_bootstrap"
"clean_bootstrap",0.218,"clean_bootstrap"
"clean_bootstrap",0.22,"clean_bootstrap"
"clean_bootstrap",0.22,"clean_bootstrap"
"clean_bootstrap",0.22,"clean_bootstrap"
"clean_bootstrap",0.22,"clean_bootstrap"
"clean_bootstrap",0.22,"clean_bootstrap"
"clean_bootstrap",0.22,"clean_bootstrap"
"clean_bootstrap",0.222,"clean_bootstrap"
"clean_bootstrap",0.222,"clean_bootstrap"
"clean_bootstrap",0.222,"clean_bootstrap"
"clean_bootstrap",0.222,"clean_bootstrap"
"clean_bootstrap",0.222,"clean_bootstrap"
"clean_bootstrap",0.222,"clean_bootstrap"
"clean_bootstrap",0.224,"clean_bootstrap"
"clean_bootstrap",0.224,"clean_bootstrap"
"clean_bootstrap",0.224,"clean_bootstrap"
"clean_bootstrap",0.224,"clean_bootstrap"
"clean_bootstrap",0.224,"clean_bootstrap"
"clean_bootstrap",0.224,"clean_bootstrap"
"clean_bootstrap",0.224,"clean_bootstrap"
"clean_bootstrap",0.226,"clean_bootstrap"
"clean_bootstrap",0.226,"clean_bootstrap"
"clean_bootstrap",0.226,"clean_bootstrap"
"clean_bootstrap",0.226,"clean_bootstrap"
"clean_bootstrap",0.226,"clean_bootstrap"
"clean_bootstrap",0.226,"clean_bootstrap"
"clean_bootstrap",0.228,"clean_bootstrap"
"clean_bootstrap",0.228,"clean_bootstrap"
"clean_bootstrap",0.228,"clean_bootstrap"
"clean_bootstrap",0.228,"clean_bootstrap"
"clean_bootstrap",0.23,"clean_bootstrap"
"clean_bootstrap",0.232,"clean_bootstrap"
"clean_bootstrap",0.232,"clean_bootstrap"
"clean_bootstrap",0.234,"clean_bootstrap"
"clean_bootstrap",0.234,"clean_bootstrap"
"clean_bootstrap",0.234,"clean_bootstrap"
"clean_bootstrap",0.236,"clean_bootstrap"
"clean_bootstrap",0.236,"clean_bootstrap"
"clean_bootstrap",0.236,"clean_bootstrap"
"clean_bootstrap",0.236,"clean_bootstrap"
"clean_bootstrap",0.236,"clean_bootstrap"
"clean_bootstrap",0.236,"clean_bootstrap"
"clean_bootstrap",0.238,"clean_bootstrap"
"clean_bootstrap",0.238,"clean_bootstrap"
"clean_bootstrap",0.238,"clean_bootstrap"
"clean_bootstrap",0.238,"clean_bootstrap"
"clean_bootstrap",0.24,"clean_bootstrap"
"clean_bootstrap",0.24,"clean_bootstrap"
"clean_bootstrap",0.24,"clean_bootstrap"
"clean_bootstrap",0.24,"clean_bootstrap"
"clean_bootstrap",0.24,"clean_bootstrap"
"clean_bootstrap",0.24,"clean_bootstrap"
"clean_bootstrap",0.24,"clean_bootstrap"
"clean_bootstrap",0.242,"clean_bootstrap"
"clean_bootstrap",0.242,"clean_bootstrap"
"clean_bootstrap",0.242,"clean_bootstrap"
"clean_bootstrap",0.244,"clean_bootstrap"
"clean_bootstrap",0.244,"clean_bootstrap"
"clean_bootstrap",0.244,"clean_bootstrap"
"clean_bootstrap",0.244,"clean_bootstrap"
"clean_bootstrap",0.246,"clean_bootstrap"
"clean_bootstrap",0.246,"clean_bootstrap"
"clean_bootstrap",0.248,"clean_bootstrap"
"clean_bootstrap",0.248,"clean_bootstrap"
"clean_bootstrap",0.248,"clean_bootstrap"
"clean_bootstrap",0.248,"clean_bootstrap"
"clean_bootstrap",0.248,"clean_bootstrap"
"clean_bootstrap",0.25,"clean_bootstrap"
"clean_bootstrap",0.25,"clean_bootstrap"
"clean_bootstrap",0.25,"clean_bootstrap"
"clean_bootstrap",0.25,"clean_bootstrap"
"clean_bootstrap",0.25,"clean_bootstrap"
"clean_bootstrap",0.252,"clean_bootstrap"
"clean_bootstrap",0.252,"clean_bootstrap"
"clean_bootstrap",0.254,"clean_bootstrap"
"clean_bootstrap",0.254,"clean_bootstrap"
"clean_bootstrap",0.254,"clean_bootstrap"
"clean_bootstrap",0.254,"clean_bootstrap"
"clean_bootstrap",0.256,"clean_bootstrap"
"clean_bootstrap",0.256,"clean_bootstrap"
"clean_bootstrap",0.258,"clean_bootstrap"
"clean_bootstrap",0.258,"clean_bootstrap"
"clean_bootstrap",0.258,"clean_bootstrap"
"clean_bootstrap",0.258,"clean_bootstrap"
"clean_bootstrap",0.258,"clean_bootstrap"
"clean_bootstrap",0.26,"clean_bootstrap"
"clean_bootstrap",0.262,"clean_bootstrap"
"clean_bootstrap",0.262,"clean_bootstrap"
"clean_bootstrap",0.262,"clean_bootstrap"
"clean_bootstrap",0.264,"clean_bootstrap"
"clean_bootstrap",0.264,"clean_bootstrap"
"clean_bootstrap",0.264,"clean_bootstrap"
"clean_bootstrap",0.266,"clean_bootstrap"
"clean_bootstrap",0.266,"clean_bootstrap"
"clean_bootstrap",0.266,"clean_bootstrap"
"clean_bootstrap",0.268,"clean_bootstrap"
"clean_bootstrap",0.268,"clean_bootstrap"
"clean_bootstrap",0.27,"clean_bootstrap"
"clean_bootstrap",0.27,"clean_bootstrap"
"clean_bootstrap",0.27,"clean_bootstrap"
"clean_bootstrap",0.27,"clean_bootstrap"
"clean_bootstrap",0.27,"clean_bootstrap"
"clean_bootstrap",0.27,"clean_bootstrap"
"clean_bootstrap",0.272,"clean_bootstrap"
"clean_bootstrap",0.272,"clean_bootstrap"
"clean_bootstrap",0.272,"clean_bootstrap"
"clean_bootstrap",0.274,"clean_bootstrap"
"clean_bootstrap",0.274,"clean_bootstrap"
"clean_bootstrap",0.274,"clean_bootstrap"
"clean_bootstrap",0.276,"clean_bootstrap"
"clean_bootstrap",0.276,"clean_bootstrap"
"clean_bootstrap",0.276,"clean_bootstrap"
"clean_bootstrap",0.278,"clean_bootstrap"
"clean_bootstrap",0.278,"clean_bootstrap"
"clean_bootstrap",0.278,"clean_bootstrap"
"clean_bootstrap",0.278,"clean_bootstrap"
"clean_bootstrap",0.278,"clean_bootstrap"
"clean_bootstrap",0.278,"clean_bootstrap"
"clean_bootstrap",0.278,"clean_bootstrap"
"clean_bootstrap",0.278,"clean_bootstrap"
"clean_bootstrap",0.28,"clean_bootstrap"
